Brand,Model,Year,Engine_CC,Power_BHP,Fuel_Type,Transmission,Owner_Type,KM_Driven,Price_USD
Nissan,Altima,2010,1400,60.3,Diesel,Automatic,Second,164609,3296.49
Ford,Explorer,2005,1300,72.9,Diesel,Automatic,Second,239028,3635.89
Ford,F-150,2009,900,60.0,Petrol,Automatic,First,219742,4096.33
Audi,Q5,2021,1900,92.1,Hybrid,Automatic,First,39417,53466.81
Chevrolet,Traverse,2009,1500,91.2,Hybrid,Automatic,First,171335,4382.72
BMW,X3,2010,1900,88.4,Diesel,Automatic,Second,120501,13263.64
BMW,X3,2011,1800,98.9,Diesel,Automatic,First,199519,14992.63
Kia,Optima,2005,1200,60.0,Diesel,Automatic,First,321405,2357.32
Ford,Focus,2019,1100,70.1,Hybrid,Manual,First,81532,16419.14
Mercedes,GLC,2009,2400,117.5,Hybrid,Automatic,First,209110,14508.52
Hyundai,Tucson,2016,900,60.0,Petrol,Automatic,Second,108837,5441.31
Honda,Civic,2005,1000,60.0,Hybrid,Automatic,Second,251447,3001.8
Nissan,Sentra,2011,800,60.0,Petrol,Automatic,First,96148,4398.6
Mercedes,A-Class,2005,2400,120.9,Petrol,Automatic,Second,330015,10667.11
Honda,CR-V,2021,1100,74.4,Petrol,Automatic,Second,500,13924.17
Mercedes,GLE,2005,2700,145.6,Petrol,Manual,Second,272239,9862.42
Mercedes,GLC,2012,2800,141.8,Petrol,Automatic,First,168466,19199.18
Hyundai,Tucson,2020,1200,62.9,Petrol,Automatic,First,45658,11427.54
Chevrolet,Silverado,2015,1200,73.6,Petrol,Automatic,Second,67700,7056.63
BMW,X5,2007,2200,132.0,Electric,Automatic,First,210577,12837.84
Honda,Accord,2017,1100,60.0,Petrol,Manual,Second,71296,8141.22
Hyundai,Sonata,2014,1300,76.2,Diesel,Manual,Second,117272,4716.68
Honda,HR-V,2021,1500,79.0,Petrol,Automatic,First,30615,16525.82
Ford,Explorer,2008,2000,107.0,Diesel,Manual,Second,173881,3989.73
Toyota,RAV4,2017,800,60.0,Petrol,Automatic,First,64362,10294.73
Audi,A3,2011,2000,103.4,Petrol,Manual,First,186936,10641.89
Kia,Sportage,2012,1000,60.0,Diesel,Automatic,Second,128414,3741.05
Hyundai,Elantra,2017,800,60.0,Diesel,Manual,Second,77590,6348.9
BMW,M3,2022,2200,142.9,Diesel,Manual,First,19670,65001.25
Audi,A6,2006,2500,118.5,Hybrid,Automatic,First,232415,10670.13
Mercedes,A-Class,2014,2800,149.6,Hybrid,Automatic,First,97398,30601.29
Honda,Civic,2014,800,60.0,Petrol,Manual,First,137357,5267.97
Nissan,Altima,2019,1300,69.8,Petrol,Automatic,First,59164,10804.49
Honda,Pilot,2008,1200,90.6,Petrol,Automatic,Second,139366,3236.51
Chevrolet,Camaro,2009,1100,66.8,Diesel,Manual,First,290966,2946.37
Mercedes,C-Class,2007,3200,185.4,Hybrid,Manual,First,161977,15486.39
Toyota,Camry,2007,1400,83.6,Electric,Automatic,Second,268853,3257.94
Ford,Explorer,2009,1400,87.3,Petrol,Automatic,Third,144422,3691.27
Nissan,Altima,2010,1700,90.8,Diesel,Automatic,First,150872,3673.81
Nissan,Murano,2010,1400,76.1,Petrol,Automatic,Third,132470,2701.89
Honda,HR-V,2018,1400,74.8,Petrol,Automatic,First,81346,10515.74
Ford,Focus,2008,1500,76.5,Petrol,Automatic,Third,144810,3466.12
Hyundai,Santa Fe,2016,1600,103.7,Petrol,Manual,First,91645,6795.91
Honda,HR-V,2008,1300,81.4,Petrol,Automatic,First,252401,2920.24
Kia,Stinger,2010,800,60.0,Hybrid,Automatic,First,125066,3682.29
Nissan,Murano,2022,1200,63.7,Hybrid,Automatic,Third,24797,13966.9
Audi,Q7,2007,2300,142.9,Petrol,Automatic,First,282380,8193.28
Honda,Pilot,2006,1000,60.0,Hybrid,Manual,First,134271,4073.06
Chevrolet,Traverse,2013,1400,101.0,Petrol,Automatic,First,133878,7044.77
Toyota,Highlander,2005,900,60.0,Diesel,Manual,First,333672,2998.84
Honda,Civic,2012,1300,89.6,Diesel,Automatic,First,158851,5261.97
Chevrolet,Traverse,2011,1300,86.5,Diesel,Automatic,Second,192829,4562.01
BMW,X3,2018,2600,142.8,Petrol,Manual,Second,105931,29038.93
Honda,Civic,2007,800,60.0,Petrol,Automatic,First,188591,3323.02
Chevrolet,Camaro,2008,1400,86.5,Diesel,Automatic,First,331370,3527.66
Ford,Escape,2006,1000,60.0,Diesel,Automatic,Second,248671,3579.51
Ford,F-150,2016,1200,64.9,Petrol,Automatic,First,77337,10579.46
Audi,A3,2006,2400,129.0,Petrol,Automatic,First,216442,8651.81
Honda,CR-V,2014,1600,98.0,Petrol,Manual,First,97404,6202.48
Audi,A3,2015,2200,125.3,Diesel,Automatic,First,137011,21505.94
Honda,Accord,2013,1100,60.0,Diesel,Automatic,First,96896,6494.51
Mercedes,GLE,2014,2500,141.5,Petrol,Automatic,Second,101136,25095.34
Toyota,Prius,2020,800,60.0,Electric,Automatic,First,35986,17945.93
Kia,Sorento,2005,1700,92.9,Hybrid,Automatic,Second,215980,2521.69
Honda,HR-V,2020,1500,81.9,Diesel,Manual,Second,47318,12274.07
Audi,A3,2015,2400,137.7,Hybrid,Automatic,First,130656,25232.54
Toyota,Camry,2019,1200,74.7,Diesel,Automatic,Second,29645,14524.94
BMW,5 Series,2015,1600,81.2,Diesel,Automatic,Second,102075,22441.38
Ford,Escape,2009,1400,90.8,Petrol,Automatic,First,208349,4302.23
Kia,Stinger,2015,1000,60.0,Petrol,Automatic,Second,75722,4797.37
Ford,Explorer,2019,1400,69.8,Diesel,Automatic,First,78087,15979.3
Chevrolet,Camaro,2011,1300,79.5,Petrol,Automatic,First,163218,4917.07
Audi,A4,2013,2800,155.8,Diesel,Manual,First,132667,17056.81
Ford,Explorer,2008,1100,82.0,Petrol,Automatic,First,136544,5015.11
Honda,Civic,2020,1300,60.0,Petrol,Manual,First,54296,12806.89
Toyota,RAV4,2011,1500,93.5,Diesel,Automatic,First,165133,4517.7
Toyota,Prius,2005,1400,88.6,Diesel,Automatic,First,145755,4222.28
Hyundai,Santa Fe,2012,800,60.0,Hybrid,Automatic,First,178752,3943.84
Toyota,Highlander,2008,1800,95.7,Electric,Automatic,Second,124950,4437.57
Toyota,Highlander,2012,900,60.0,Hybrid,Automatic,First,188380,6051.89
Toyota,Camry,2020,1400,74.1,Diesel,Manual,First,37322,13898.76
Ford,Mustang,2013,1500,77.2,Diesel,Automatic,First,197224,6566.05
Ford,F-150,2017,800,60.0,Petrol,Automatic,Second,82464,10543.39
Ford,F-150,2006,1400,84.1,Petrol,Automatic,Second,95414,4423.74
Nissan,Pathfinder,2007,1200,65.4,Electric,Automatic,Second,124413,3720.04
Toyota,Highlander,2017,1300,69.2,Electric,Automatic,First,48628,12361.12
Honda,CR-V,2022,1200,60.4,Petrol,Automatic,Third,14314,13154.61
Toyota,Highlander,2005,800,60.0,Diesel,Automatic,Second,237139,2802.84
Nissan,Pathfinder,2007,1000,63.8,Petrol,Automatic,Second,213578,2490.34
BMW,M3,2014,2500,132.6,Diesel,Manual,Second,76631,19203.39
Hyundai,Kona,2008,800,60.0,Hybrid,Manual,Second,218362,2325.2
Kia,Optima,2013,1100,60.0,Petrol,Automatic,Third,115468,3340.72
Ford,Mustang,2019,1800,93.0,Hybrid,Automatic,Second,57264,16184.27
Toyota,Camry,2009,900,60.0,Diesel,Automatic,First,237426,3336.65
Toyota,Highlander,2021,1000,60.0,Petrol,Automatic,Second,29106,14547.93
Chevrolet,Malibu,2022,1300,61.3,Petrol,Manual,First,28393,17584.6
Toyota,Camry,2012,1400,60.0,Diesel,Manual,First,176516,4659.01
Nissan,Murano,2018,1300,67.9,Petrol,Automatic,Second,59852,8283.06
Kia,Soul,2015,1200,83.3,Petrol,Automatic,First,117717,5354.63
Toyota,Corolla,2019,1900,115.3,Diesel,Automatic,Second,28123,14572.66
Nissan,Altima,2009,1300,79.8,Petrol,Automatic,First,144737,3319.12
Honda,Accord,2018,1200,80.5,Diesel,Manual,First,40371,10941.23
Nissan,Pathfinder,2008,900,60.0,Petrol,Automatic,Second,151880,2847.84
Ford,Mustang,2011,1900,124.6,Petrol,Automatic,First,242440,4866.84
Honda,Pilot,2021,1300,77.0,Diesel,Manual,Second,16248,14332.09
Toyota,Camry,2005,1300,77.3,Petrol,Manual,Second,288644,2564.41
Ford,Escape,2015,1500,86.1,Diesel,Automatic,First,111872,9433.89
Audi,A6,2010,2000,94.1,Diesel,Manual,Third,139514,8237.51
Toyota,Highlander,2011,800,60.0,Electric,Automatic,Second,129044,5219.26
BMW,M3,2016,2500,130.6,Petrol,Manual,First,95629,28084.16
Honda,Civic,2017,1100,60.0,Hybrid,Manual,Second,93758,8158.85
Toyota,Corolla,2015,1200,60.0,Electric,Automatic,Third,94317,6936.03
Audi,Q5,2016,2300,119.2,Petrol,Manual,First,77556,25396.62
Mercedes,A-Class,2006,3200,185.4,Petrol,Automatic,Second,214102,11145.45
Hyundai,Elantra,2006,900,60.0,Petrol,Automatic,First,268653,2311.69
Ford,Explorer,2021,1700,85.8,Petrol,Manual,First,23459,18964.3
BMW,5 Series,2021,2400,132.8,Petrol,Manual,First,39064,50035.11
Hyundai,Elantra,2022,1400,69.9,Petrol,Automatic,First,12720,13518.76
Nissan,Sentra,2014,1300,60.0,Petrol,Automatic,First,171650,5248.03
Toyota,Prius,2020,1300,85.6,Petrol,Automatic,Second,43660,12833.31
Nissan,Rogue,2009,1200,60.0,Diesel,Automatic,Second,183373,2881.71
Mercedes,GLC,2016,2200,112.6,Electric,Automatic,Second,87877,33846.86
Toyota,Corolla,2005,1300,87.7,Petrol,Manual,First,215713,3424.79
Ford,Focus,2016,1500,74.6,Petrol,Automatic,Second,104104,9083.2
Chevrolet,Traverse,2008,1500,97.1,Hybrid,Manual,First,166254,4267.22
Chevrolet,Silverado,2017,800,60.0,Hybrid,Automatic,Second,56738,10961.01
Chevrolet,Traverse,2021,1000,62.1,Petrol,Automatic,Third,26625,13417.39
Hyundai,Elantra,2017,800,60.0,Electric,Automatic,First,100903,8494.38
Toyota,Highlander,2018,1100,70.0,Diesel,Manual,First,102268,10674.8
Chevrolet,Silverado,2007,900,60.0,Petrol,Automatic,Second,169074,3510.04
Toyota,RAV4,2021,1800,93.8,Petrol,Automatic,First,37790,18124.82
Toyota,RAV4,2012,1700,104.6,Electric,Automatic,Second,112715,5913.41
BMW,3 Series,2005,2000,118.1,Petrol,Automatic,Second,210049,8776.61
BMW,M3,2021,3000,158.0,Diesel,Automatic,First,47036,55268.63
BMW,M3,2021,2500,145.8,Petrol,Automatic,First,35012,53215.1
Mercedes,GLC,2011,2500,131.6,Diesel,Manual,Second,184546,14679.99
Honda,HR-V,2020,1400,83.9,Petrol,Automatic,Third,37892,11036.82
Hyundai,Elantra,2008,1000,60.0,Petrol,Manual,First,177956,2502.55
Hyundai,Sonata,2015,1100,65.0,Diesel,Automatic,First,80027,6895.55
Chevrolet,Equinox,2021,1200,60.0,Diesel,Automatic,First,27003,19993.88
Ford,Focus,2013,1300,76.8,Petrol,Automatic,First,139030,6898.42
Audi,A4,2008,2200,110.7,Petrol,Automatic,First,186738,8870.35
Toyota,RAV4,2015,1400,64.7,Petrol,Automatic,Second,80831,7493.26
Hyundai,Kona,2022,1000,60.0,Petrol,Manual,First,15602,11958.28
Nissan,Pathfinder,2009,1000,66.7,Electric,Manual,Second,172501,3161.89
Ford,Escape,2009,1600,93.0,Petrol,Automatic,First,96239,5103.86
Toyota,Highlander,2016,1100,63.7,Hybrid,Automatic,First,90565,9913.8
Hyundai,Sonata,2012,800,60.0,Petrol,Automatic,First,164186,3998.31
Ford,Escape,2015,1900,99.3,Diesel,Manual,Second,89605,8464.63
Hyundai,Sonata,2008,1100,60.0,Petrol,Manual,Second,282332,1973.99
Chevrolet,Silverado,2011,1200,64.1,Electric,Manual,First,203184,4149.49
Audi,A4,2015,2400,136.9,Hybrid,Automatic,Second,119551,22888.84
Kia,Sorento,2012,1000,60.0,Electric,Manual,First,128098,4383.27
Toyota,Prius,2013,1200,60.0,Hybrid,Automatic,Second,107700,6127.72
Ford,Explorer,2018,1400,77.3,Hybrid,Automatic,First,80638,15107.43
Mercedes,E-Class,2020,2200,127.4,Petrol,Manual,Second,44431,45476.64
Honda,HR-V,2011,1000,60.0,Petrol,Manual,Second,153602,3310.88
Toyota,Camry,2014,900,60.0,Diesel,Automatic,First,148098,6972.38
Mercedes,A-Class,2012,2900,162.9,Petrol,Automatic,First,106759,22612.15
Honda,Civic,2022,1100,62.0,Petrol,Manual,Third,23761,12966.55
Kia,Sportage,2021,1000,62.4,Petrol,Automatic,Second,34865,11124.23
Toyota,Prius,2015,1300,73.5,Diesel,Automatic,Second,78784,8065.62
Toyota,Prius,2020,1600,90.9,Petrol,Automatic,First,36562,15895.6
Mercedes,GLE,2006,2400,135.7,Petrol,Automatic,First,276442,11749.29
Hyundai,Sonata,2007,900,60.0,Petrol,Automatic,First,234914,2388.36
Ford,Mustang,2021,900,60.0,Petrol,Automatic,First,20843,21485.25
Audi,A6,2015,1400,74.3,Hybrid,Manual,First,145930,19833.3
Toyota,Highlander,2014,1500,75.1,Hybrid,Automatic,First,56431,9349.77
Kia,Sportage,2013,800,60.0,Diesel,Automatic,Second,98372,4296.87
Audi,A6,2019,2700,152.8,Petrol,Automatic,Second,73796,30986.13
Hyundai,Sonata,2014,1200,75.0,Petrol,Manual,Third,93555,3514.4
Chevrolet,Silverado,2010,1200,67.5,Petrol,Automatic,Second,127420,3804.23
Mercedes,A-Class,2018,2600,164.9,Petrol,Manual,Second,30533,39869.01
Honda,HR-V,2012,1000,60.9,Petrol,Manual,Second,78402,5067.33
Toyota,Corolla,2010,800,60.0,Petrol,Automatic,Third,123395,3488.97
BMW,X5,2019,2300,137.0,Petrol,Automatic,Second,61650,38711.05
Chevrolet,Camaro,2014,800,60.0,Petrol,Automatic,Second,82455,6711.32
Hyundai,Sonata,2008,800,60.0,Petrol,Automatic,Third,192103,1761.42
Chevrolet,Silverado,2022,1600,72.7,Diesel,Manual,First,25264,19545.18
Ford,Focus,2008,1900,105.5,Diesel,Automatic,Second,124343,4620.43
Chevrolet,Equinox,2019,1600,95.5,Diesel,Manual,First,36085,14050.99
Ford,F-150,2019,1700,100.9,Hybrid,Automatic,First,73475,14865.31
Toyota,Highlander,2017,1600,81.2,Petrol,Manual,Second,69114,8237.63
Honda,CR-V,2019,800,62.1,Petrol,Manual,Second,67586,9406.72
Toyota,RAV4,2019,1000,69.6,Hybrid,Automatic,Second,27102,14114.41
Mercedes,E-Class,2006,2000,117.9,Hybrid,Automatic,Third,205317,11157.44
Mercedes,GLE,2021,2200,117.8,Electric,Automatic,Second,47048,69213.96
Hyundai,Elantra,2021,1200,60.0,Petrol,Manual,First,48342,12078.99
Ford,F-150,2019,800,60.0,Diesel,Automatic,Third,46740,12830.07
Toyota,RAV4,2010,1800,99.4,Diesel,Automatic,First,159351,4551.92
Ford,Explorer,2015,1800,105.9,Hybrid,Manual,First,102715,10324.13
Honda,CR-V,2022,1000,60.0,Hybrid,Automatic,First,15385,19276.47
Audi,A3,2009,1700,86.5,Diesel,Automatic,First,231005,9003.77
Ford,F-150,2019,1200,69.4,Petrol,Automatic,Second,64970,13973.15
Nissan,Sentra,2014,1000,70.1,Petrol,Automatic,First,98385,6642.16
Ford,Escape,2011,1100,60.0,Petrol,Manual,First,164430,4840.02
Toyota,Highlander,2013,1300,60.0,Petrol,Automatic,Second,144312,4940.31
Hyundai,Elantra,2008,1000,60.0,Petrol,Manual,First,132326,2832.11
Ford,Focus,2005,1800,104.7,Petrol,Automatic,First,230076,3858.92
Honda,Civic,2014,1200,67.9,Petrol,Automatic,First,69641,7711.22
Toyota,Highlander,2021,1100,66.4,Diesel,Automatic,Second,17876,14846.88
Honda,Civic,2015,1100,69.4,Diesel,Automatic,First,58384,8281.77
Mercedes,GLC,2018,2900,165.5,Petrol,Automatic,First,65722,45214.92
Nissan,Pathfinder,2013,1200,74.9,Petrol,Automatic,First,138288,4790.13
Chevrolet,Equinox,2006,1300,75.5,Diesel,Automatic,Second,123636,3574.96
Toyota,Highlander,2019,1500,80.9,Petrol,Automatic,First,55617,14110.45
Chevrolet,Traverse,2007,1600,106.7,Hybrid,Manual,Third,81335,3624.37
Toyota,Camry,2017,900,60.0,Petrol,Automatic,Third,74190,8274.31
Mercedes,C-Class,2009,1900,100.6,Diesel,Automatic,Second,215884,12034.71
Hyundai,Kona,2018,1200,70.1,Petrol,Automatic,First,99116,8173.8
Ford,Explorer,2014,800,60.0,Hybrid,Manual,Second,107782,7280.12
Honda,CR-V,2019,1600,83.0,Diesel,Automatic,Third,53243,10590.79
Honda,Accord,2017,1000,60.0,Hybrid,Automatic,First,63066,10586.42
Toyota,Corolla,2021,1300,60.0,Petrol,Automatic,Second,29055,17254.3
Audi,A4,2020,1800,102.7,Petrol,Automatic,First,52404,43613.69
Ford,Mustang,2011,1400,87.2,Petrol,Manual,Second,127454,4793.3
Mercedes,GLE,2019,2800,166.0,Petrol,Automatic,First,43238,55058.67
Honda,CR-V,2008,1300,60.1,Petrol,Automatic,Second,160416,3233.07
Mercedes,C-Class,2008,2700,156.0,Hybrid,Automatic,Second,189599,13886.37
Hyundai,Santa Fe,2011,900,60.0,Diesel,Manual,First,116744,3676.2
Mercedes,E-Class,2016,2600,136.7,Petrol,Automatic,First,68016,35410.94
BMW,X5,2014,2000,125.2,Diesel,Manual,First,140476,19839.11
Hyundai,Tucson,2010,1300,70.0,Diesel,Manual,First,226687,2341.64
Chevrolet,Equinox,2011,1500,90.7,Hybrid,Automatic,First,137448,5300.92
BMW,X3,2019,2200,127.8,Diesel,Manual,Second,47165,38174.23
Nissan,Pathfinder,2010,1800,87.2,Petrol,Automatic,Second,102255,3485.12
Toyota,Highlander,2020,1600,90.4,Petrol,Manual,First,49957,13850.07
Mercedes,E-Class,2007,2300,124.8,Electric,Automatic,First,276644,13953.07
Audi,Q5,2015,2200,127.3,Electric,Manual,First,128939,23626.42
BMW,5 Series,2022,2300,121.6,Petrol,Automatic,Second,31387,52333.65
Honda,Accord,2019,1500,80.7,Petrol,Automatic,First,50509,12273.34
Nissan,Murano,2017,1100,68.2,Petrol,Automatic,First,53044,8777.83
Audi,Q7,2020,2100,127.6,Diesel,Automatic,First,38942,43340.2
Hyundai,Elantra,2012,800,60.0,Electric,Automatic,First,197896,4020.37
Mercedes,E-Class,2022,2700,147.4,Petrol,Manual,First,21042,69970.92
Honda,Pilot,2012,800,60.0,Petrol,Automatic,First,182141,4504.92
Chevrolet,Traverse,2016,900,60.0,Petrol,Automatic,First,80619,8560.1
Hyundai,Sonata,2016,1400,78.4,Hybrid,Automatic,First,65078,8471.06
Mercedes,GLE,2010,2500,120.5,Hybrid,Automatic,Second,121486,16905.16
Toyota,Prius,2017,1100,87.3,Electric,Manual,Second,54432,9645.23
Hyundai,Santa Fe,2007,1300,75.3,Petrol,Manual,Second,171292,2285.38
Toyota,RAV4,2014,1400,81.7,Petrol,Manual,Second,114438,5611.11
Nissan,Murano,2017,900,60.0,Diesel,Automatic,First,73161,8445.59
Honda,Accord,2012,1000,60.0,Electric,Manual,First,145945,5894.16
Honda,Accord,2022,1100,75.1,Diesel,Automatic,Third,24193,13982.31
Chevrolet,Malibu,2012,1200,69.1,Petrol,Automatic,First,96743,5944.87
Ford,Escape,2005,1600,90.2,Hybrid,Automatic,First,249402,4344.8
Toyota,RAV4,2021,800,60.0,Petrol,Automatic,Second,36080,14881.66
BMW,3 Series,2006,2100,131.3,Diesel,Automatic,First,273560,10332.22
Kia,Sportage,2008,1600,83.2,Petrol,Automatic,First,95981,3386.72
Honda,CR-V,2005,1100,60.0,Petrol,Automatic,First,213128,3038.64
Hyundai,Kona,2006,1100,67.8,Petrol,Manual,First,170216,2454.85
Kia,Optima,2019,900,60.0,Petrol,Automatic,First,73004,8801.86
Ford,Mustang,2006,1500,99.6,Petrol,Manual,First,203362,4037.91
BMW,M3,2009,1800,99.4,Petrol,Manual,First,177937,10877.61
BMW,5 Series,2021,2000,107.5,Petrol,Manual,Second,22611,45197.31
Hyundai,Tucson,2015,1100,60.0,Diesel,Manual,First,123390,5504.73
Ford,Escape,2016,1100,62.7,Diesel,Manual,Third,85130,7826.16
Nissan,Altima,2021,1100,67.5,Diesel,Manual,Second,23336,12739.07
Toyota,Prius,2017,1400,96.6,Petrol,Manual,Third,60008,7173.24
Hyundai,Sonata,2008,900,60.0,Diesel,Automatic,First,185133,2788.01
Hyundai,Elantra,2007,1100,64.8,Petrol,Automatic,First,131270,2914.5
Ford,Focus,2010,1300,60.0,Diesel,Automatic,First,152968,5171.98
Toyota,Prius,2017,1500,77.5,Diesel,Manual,First,79748,9394.68
Ford,F-150,2010,1100,68.3,Diesel,Automatic,First,192397,4756.08
Mercedes,E-Class,2018,2000,105.9,Petrol,Automatic,First,42816,46364.58
Nissan,Rogue,2014,1200,81.1,Petrol,Automatic,Third,80966,4495.42
Chevrolet,Malibu,2020,800,60.0,Diesel,Automatic,Second,28946,14917.21
Nissan,Altima,2006,800,60.0,Petrol,Automatic,Second,173736,2813.52
Honda,CR-V,2017,1100,60.2,Petrol,Manual,First,96471,8076.05
Hyundai,Santa Fe,2017,800,68.3,Diesel,Manual,First,108507,7014.38
Mercedes,GLE,2016,2200,112.4,Petrol,Manual,First,65682,32126.52
Hyundai,Santa Fe,2009,800,60.0,Diesel,Automatic,Second,165788,2425.88
Nissan,Pathfinder,2010,1200,62.1,Petrol,Automatic,First,98044,3877.87
Kia,Soul,2019,1200,73.6,Petrol,Manual,First,45394,9388.46
Chevrolet,Equinox,2009,900,60.0,Petrol,Automatic,First,229331,3330.42
BMW,5 Series,2014,2500,133.8,Petrol,Manual,Second,118070,18492.61
Chevrolet,Camaro,2008,1000,60.0,Diesel,Automatic,First,212982,3850.88
Audi,Q7,2016,2300,116.4,Petrol,Manual,First,87605,23085.74
Kia,Optima,2017,800,60.0,Diesel,Automatic,First,88297,7673.49
BMW,3 Series,2016,1900,103.9,Petrol,Automatic,Second,113880,25322.8
Hyundai,Tucson,2006,1100,69.9,Diesel,Automatic,First,231016,2266.48
Nissan,Murano,2010,1400,83.0,Diesel,Manual,First,183715,3434.23
Hyundai,Sonata,2010,1200,60.0,Petrol,Manual,First,227603,2503.31
Mercedes,GLE,2021,2100,113.3,Hybrid,Automatic,Second,29173,67264.43
Toyota,Camry,2007,1600,89.3,Petrol,Manual,First,210829,3086.76
Mercedes,E-Class,2017,2500,126.2,Electric,Manual,First,82361,44543.74
Toyota,RAV4,2018,1200,60.0,Petrol,Manual,First,82171,10089.53
Hyundai,Kona,2016,1400,77.0,Diesel,Automatic,Second,111085,6305.61
Honda,Pilot,2019,1100,60.0,Diesel,Automatic,First,88428,12272.97
Mercedes,GLC,2014,2200,110.1,Hybrid,Manual,First,149611,23749.38
Nissan,Rogue,2019,1300,62.3,Petrol,Automatic,First,33663,11439.73
Chevrolet,Malibu,2008,1300,78.3,Petrol,Automatic,First,182827,3796.54
Audi,A3,2005,1800,82.1,Diesel,Manual,Second,103881,9815.8
Hyundai,Elantra,2014,1600,82.3,Diesel,Manual,First,92030,5239.54
Nissan,Altima,2005,1600,97.1,Petrol,Automatic,First,182842,3082.52
Ford,Escape,2015,1200,60.0,Diesel,Automatic,First,95003,9483.72
Audi,A3,2011,2800,150.0,Electric,Automatic,Second,156994,14060.23
